precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec
0.8075232046897899,0.8455242966751918,0.8260869565217391,0.5942684766214178,0.625627910026887,5236,3910,1326,0.7312849830075645,0.8963640222997671,8,7,XGBoost,clean,16,central,fixed_0.5,42,0.6865251250000028
0.7854678740836567,0.9317135549872123,0.8523631258773983,0.7503770739064857,0.5906682405403634,5236,3910,1326,0.712265027986406,0.8886775286069819,8,7,Compact MLP,clean,16,central,fixed_0.5,42,4.31931154199998
0.6609083850931677,0.9860990443092963,0.7914003486345148,0.9864483342744212,0.4998253550174375,5224,3453,1771,0.6648240639854737,0.8151232353629778,9,12,Logistic Regression,clean,64,central,fixed_0.5,42,4.295766167000011
0.7053851726636078,0.8459310744280336,0.7692915459573347,0.6888763410502541,0.5785273666888897,5224,3453,1771,0.6266769720288399,0.7534862519786835,9,12,Random Forest,clean,64,central,fixed_0.5,42,18.799742750000007
0.7110413143271321,0.8523023457862728,0.7752897787144363,0.6753246753246753,0.5884888352307988,5224,3453,1771,0.6640844392138163,0.8149570165877735,9,12,XGBoost,clean,64,central,fixed_0.5,42,1.5868672920000222
0.6863452962412402,0.9359976831740515,0.7919627542269052,0.83399209486166,0.5510027941561957,5224,3453,1771,0.6765733542449442,0.8275458402090743,9,12,Compact MLP,clean,64,central,fixed_0.5,42,6.861255291999953
0.6600232198142415,0.9878366637706343,0.7913235123535552,0.9920948616600791,0.4978709010552776,5224,3453,1771,0.5751675766030013,0.7223628470930941,9,12,Logistic Regression,clean,32,central,fixed_0.5,42,0.9549070409999558
0.7065693430656934,0.8410078192875761,0.7679492264974217,0.6809712027103332,0.5800183082886214,5224,3453,1771,0.6240019439883453,0.747445100452691,9,12,Random Forest,clean,32,central,fixed_0.5,42,15.65106020899998
0.705825710158883,0.8491167101071532,0.7708689365058499,0.6900056465273856,0.5795555317898837,5224,3453,1771,0.6610323219132195,0.8115935761283999,9,12,XGBoost,clean,32,central,fixed_0.5,42,0.8661099999999351
0.6910197869101978,0.9203591080220098,0.7893691008445107,0.8023715415019763,0.5589937832600168,5224,3453,1771,0.6864198645258593,0.8293176772818929,9,12,Compact MLP,clean,32,central,fixed_0.5,42,4.401067874999967
0.6586120239706167,0.9866782507964089,0.7899373985624855,0.9971767363071711,0.4947507572446189,5224,3453,1771,0.5758126837717364,0.7257423686808262,9,12,Logistic Regression,clean,16,central,fixed_0.5,42,0.1517906660000108
0.7134831460674157,0.8459310744280336,0.7740824168543792,0.6623376623376623,0.5917967060451856,5224,3453,1771,0.6755174716116052,0.8147874973316227,9,12,Random Forest,clean,16,central,fixed_0.5,42,7.414733541000032
0.7039615846338535,0.8491167101071532,0.7697558414281964,0.6962168266516092,0.576449941727772,5224,3453,1771,0.6707198856369709,0.822995165764865,9,12,XGBoost,clean,16,central,fixed_0.5,42,0.8819687080000449
0.7065311418685121,0.946133796698523,0.8089637241550081,0.7662337662337663,0.5899500152323784,5224,3453,1771,0.6989982278767077,0.8392646506200536,9,12,Compact MLP,clean,16,central,fixed_0.5,42,6.077020167000001
